id,Country,TotalCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,CriticalCases, TotalCases/1MPopulation,Deaths/1MPopulation,TotalTests,Tests/1MPopulation,Population
89,Egypt,515645.00,24613.00,,442182.00,48850.00,122.00,4857.00,232.00,3693367.00,34792.00,106156692.00
90,Libya,506991.00,6437.00,,500507.00,47.00,101.00,72008.00,914.00,2481983.00,352517.00,7040745.00
91,Ethiopia,493563.00,7572.00,,471918.00,14073.00,1.00,4085.00,63.00,5258807.00,43529.00,120812698.00
92,Réunion,472336.00,893.00,,418572.00,52871.00,10.00,520159.00,983.00,1603660.00,1766027.00,908061.00
93,Honduras,456391.00,10993.00,,N/A,N/A,105.00,44651.00,1076.00,1528531.00,149544.00,10221247.00
94,Qatar,450448.00,682.00,,443418.00,6348.00,4.00,151161.00,229.00,3951470.00,1326034.00,2979915.00
95,Armenia,442875.00,8683.00,,430192.00,4000.00,,149018.00,2922.00,3210961.00,1080416.00,2971966.00
96,Bosnia and Herzegovina,398668.00,16136.00,,376654.00,5878.00,,122693.00,4966.00,1861041.00,572748.00,3249317.00
97,Oman,397993.00,4260.00,,384669.00,9064.00,2.00,74755.00,800.00,25000000.00,4695724.00,5323993.00
98,North Macedonia,342775.00,9534.00,,332806.00,435.00,,164692.00,4581.00,2130257.00,1023520.00,2081304.00
99,Kenya,338420.00,5678.00,,332663.00,79.00,1.00,6020.00,101.00,3881967.00,69055.00,56215221.00
100,Zambia,333531.00,4017.00,,329375.00,139.00,,17130.00,206.00,3731374.00,191645.00,19470234.00
,,,,,,
